Specimen,Subset,Statistic,Count,Total_Cells
Specimen_002_CP79 NP4 GFP-1_001.fcs,"Specimen_002_CP79 NP4 GFP-1_001.fcs/Q2: Comp-Pacific Blue-A+ , Comp-FITC-A+",0.63,126.0,20000
Specimen_002_CP79 NP4 GFP-1_001.fcs,"Specimen_002_CP79 NP4 GFP-1_001.fcs/Q3: Comp-Pacific Blue-A+ , Comp-FITC-A-",3.38,675.0,20000
Specimen_002_CP79 NP4 GFP-1_001.fcs,"Specimen_002_CP79 NP4 GFP-1_001.fcs/Q4: Comp-Pacific Blue-A- , Comp-FITC-A-",9.82,1964.0,20000
Specimen_002_CP79 NP4 GFP_001.fcs,Specimen_002_CP79 NP4 GFP_001.fcs/Comp-Pacific Blue-A subset,96.0,19198.0,20000
Specimen_002_CP79 NP4 GFP_001.fcs,Specimen_002_CP79 NP4 GFP_001.fcs/Lymphocytes,92.1,18423.0,20000
Specimen_002_CP79 NP4 GFP_001.fcs,Specimen_002_CP79 NP4 GFP_001.fcs/Lymphocytes/Single Cells,71.7,13202.0,20000
Specimen_002_CP79 NP4 GFP_001.fcs,"Specimen_002_CP79 NP4 GFP_001.fcs/Lymphocytes/Single Cells/Comp-Pacific Blue-A, FSC-A subset",98.1,12951.0,20000
Specimen_002_CP79 NP4 GFP_001.fcs,Mean : Comp-FITC-A = 2161.937744141,2162.0,,20000
Specimen_002_CP79 NP4 GFP_001.fcs,"Specimen_002_CP79 NP4 GFP_001.fcs/Lymphocytes/Single Cells/Comp-Pacific Blue-A, FSC-A subset/Comp-FITC-A, FSC-A subset",92.5,11976.0,20000
Specimen_002_CP79 NP4 GFP_001.fcs,"Specimen_002_CP79 NP4 GFP_001.fcs/Q1: Comp-Pacific Blue-A- , Comp-FITC-A+",86.3,17263.0,20000
Specimen_002_CP79 NP4 GFP_001.fcs,"Specimen_002_CP79 NP4 GFP_001.fcs/Q2: Comp-Pacific Blue-A+ , Comp-FITC-A+",0.66,132.0,20000
Specimen_002_CP79 NP4 GFP_001.fcs,"Specimen_002_CP79 NP4 GFP_001.fcs/Q3: Comp-Pacific Blue-A+ , Comp-FITC-A-",3.21,641.0,20000
Specimen_002_CP79 NP4 GFP_001.fcs,"Specimen_002_CP79 NP4 GFP_001.fcs/Q4: Comp-Pacific Blue-A- , Comp-FITC-A-",9.82,1964.0,20000
Specimen_002_CP79 NP6 GFP.fcs,Specimen_002_CP79 NP6 GFP.fcs/Comp-Pacific Blue-A subset,94.9,18983.0,20000
Specimen_002_CP79 NP6 GFP.fcs,Specimen_002_CP79 NP6 GFP.fcs/Lymphocytes,91.1,18215.0,20000
Specimen_002_CP79 NP6 GFP.fcs,Specimen_002_CP79 NP6 GFP.fcs/Lymphocytes/Single Cells,70.7,12879.0,20000
Specimen_002_CP79 NP6 GFP.fcs,"Specimen_002_CP79 NP6 GFP.fcs/Lymphocytes/Single Cells/Comp-Pacific Blue-A, FSC-A subset",96.7,12457.0,20000
Specimen_002_CP79 NP6 GFP.fcs,Mean : Comp-FITC-A = 2172.081787109,2172.0,,20000
Specimen_002_CP79 NP6 GFP.fcs,"Specimen_002_CP79 NP6 GFP.fcs/Lymphocytes/Single Cells/Comp-Pacific Blue-A, FSC-A subset/Comp-FITC-A, FSC-A subset",92.9,11575.0,20000
Specimen_002_CP79 NP6 GFP.fcs,"Specimen_002_CP79 NP6 GFP.fcs/Q1: Comp-Pacific Blue-A- , Comp-FITC-A+",85.1,17017.0,20000
Specimen_002_CP79 NP6 GFP.fcs,"Specimen_002_CP79 NP6 GFP.fcs/Q2: Comp-Pacific Blue-A+ , Comp-FITC-A+",0.75,150.0,20000
Specimen_002_CP79 NP6 GFP.fcs,"Specimen_002_CP79 NP6 GFP.fcs/Q3: Comp-Pacific Blue-A+ , Comp-FITC-A-",4.15,829.0,20000
Specimen_002_CP79 NP6 GFP.fcs,"Specimen_002_CP79 NP6 GFP.fcs/Q4: Comp-Pacific Blue-A- , Comp-FITC-A-",10.0,2004.0,20000
Specimen_002_CP79 NP6 GFP1.fcs,Specimen_002_CP79 NP6 GFP1.fcs/Comp-Pacific Blue-A subset,94.5,18890.0,20000
Specimen_002_CP79 NP6 GFP1.fcs,Specimen_002_CP79 NP6 GFP1.fcs/Lymphocytes,91.1,18221.0,20000
Specimen_002_CP79 NP6 GFP1.fcs,Specimen_002_CP79 NP6 GFP1.fcs/Lymphocytes/Single Cells,71.5,13022.0,20000
Specimen_002_CP79 NP6 GFP1.fcs,"Specimen_002_CP79 NP6 GFP1.fcs/Lymphocytes/Single Cells/Comp-Pacific Blue-A, FSC-A subset",96.3,12534.0,20000
Specimen_002_CP79 NP6 GFP1.fcs,Mean : Comp-FITC-A = 2171.326416016,2171.0,,20000
Specimen_002_CP79 NP6 GFP1.fcs,"Specimen_002_CP79 NP6 GFP1.fcs/Lymphocytes/Single Cells/Comp-Pacific Blue-A, FSC-A subset/Comp-FITC-A, FSC-A subset",93.4,11707.0,20000
Specimen_002_CP79 NP6 GFP1.fcs,"Specimen_002_CP79 NP6 GFP1.fcs/Q1: Comp-Pacific Blue-A- , Comp-FITC-A+",84.8,16960.0,20000
Specimen_002_CP79 NP6 GFP1.fcs,"Specimen_002_CP79 NP6 GFP1.fcs/Q2: Comp-Pacific Blue-A+ , Comp-FITC-A+",0.88,176.0,20000
Specimen_002_CP79 NP6 GFP1.fcs,"Specimen_002_CP79 NP6 GFP1.fcs/Q3: Comp-Pacific Blue-A+ , Comp-FITC-A-",4.55,911.0,20000
Specimen_002_CP79 NP6 GFP1.fcs,"Specimen_002_CP79 NP6 GFP1.fcs/Q4: Comp-Pacific Blue-A- , Comp-FITC-A-",9.77,1953.0,20000
Specimen_002_CP79 NP10 GFP-1_002.fcs,Specimen_002_CP79 NP10 GFP-1_002.fcs/Comp-Pacific Blue-A subset,84.5,16899.0,20000
Specimen_002_CP79 NP10 GFP-1_002.fcs,Specimen_002_CP79 NP10 GFP-1_002.fcs/Lymphocytes,87.2,17447.0,20000
Specimen_002_CP79 NP10 GFP-1_002.fcs,Specimen_002_CP79 NP10 GFP-1_002.fcs/Lymphocytes/Single Cells,67.7,11806.0,20000
Specimen_002_CP79 NP10 GFP-1_002.fcs,"Specimen_002_CP79 NP10 GFP-1_002.fcs/Lymphocytes/Single Cells/Comp-Pacific Blue-A, FSC-A subset",84.6,9987.0,20000
Specimen_002_CP79 NP10 GFP-1_002.fcs,Mean : Comp-FITC-A = 385.134887695,385.0,,20000
Specimen_002_CP79 NP10 GFP-1_002.fcs,"Specimen_002_CP79 NP10 GFP-1_002.fcs/Lymphocytes/Single Cells/Comp-Pacific Blue-A, FSC-A subset/Comp-FITC-A, FSC-A subset",19.8,1975.0,20000
Specimen_002_CP79 NP10 GFP-1_002.fcs,"Specimen_002_CP79 NP10 GFP-1_002.fcs/Q1: Comp-Pacific Blue-A- , Comp-FITC-A+",22.7,4549.0,20000
Specimen_002_CP79 NP10 GFP-1_002.fcs,"Specimen_002_CP79 NP10 GFP-1_002.fcs/Q2: Comp-Pacific Blue-A+ , Comp-FITC-A+",0.5,99.0,20000
Specimen_002_CP79 NP10 GFP-1_002.fcs,"Specimen_002_CP79 NP10 GFP-1_002.fcs/Q3: Comp-Pacific Blue-A+ , Comp-FITC-A-",14.8,2955.0,20000
Specimen_002_CP79 NP10 GFP-1_002.fcs,"Specimen_002_CP79 NP10 GFP-1_002.fcs/Q4: Comp-Pacific Blue-A- , Comp-FITC-A-",62.0,12397.0,20000
Specimen_002_CP79 NP10 GFP_001.fcs,Specimen_002_CP79 NP10 GFP_001.fcs/Comp-Pacific Blue-A subset,83.9,16788.0,20000
Specimen_002_CP79 NP10 GFP_001.fcs,Specimen_002_CP79 NP10 GFP_001.fcs/Lymphocytes,87.3,17467.0,20000
Specimen_002_CP79 NP10 GFP_001.fcs,Specimen_002_CP79 NP10 GFP_001.fcs/Lymphocytes/Single Cells,68.9,12039.0,20000
Specimen_002_CP79 NP10 GFP_001.fcs,"Specimen_002_CP79 NP10 GFP_001.fcs/Lymphocytes/Single Cells/Comp-Pacific Blue-A, FSC-A subset",84.5,10167.0,20000
Specimen_002_CP79 NP10 GFP_001.fcs,Mean : Comp-FITC-A = 397.380126953,397.0,,20000
Specimen_002_CP79 NP10 GFP_001.fcs,"Specimen_002_CP79 NP10 GFP_001.fcs/Lymphocytes/Single Cells/Comp-Pacific Blue-A, FSC-A subset/Comp-FITC-A, FSC-A subset",20.0,2038.0,20000
Specimen_002_CP79 NP10 GFP_001.fcs,"Specimen_002_CP79 NP10 GFP_001.fcs/Q1: Comp-Pacific Blue-A- , Comp-FITC-A+",22.4,4475.0,20000
Specimen_002_CP79 NP10 GFP_001.fcs,"Specimen_002_CP79 NP10 GFP_001.fcs/Q2: Comp-Pacific Blue-A+ , Comp-FITC-A+",0.48,96.0,20000
Specimen_002_CP79 NP10 GFP_001.fcs,"Specimen_002_CP79 NP10 GFP_001.fcs/Q3: Comp-Pacific Blue-A+ , Comp-FITC-A-",15.4,3073.0,20000
Specimen_002_CP79 NP10 GFP_001.fcs,"Specimen_002_CP79 NP10 GFP_001.fcs/Q4: Comp-Pacific Blue-A- , Comp-FITC-A-",61.8,12356.0,20000
Specimen_002_L3k GFP.fcs,Specimen_002_L3k GFP.fcs/Comp-Pacific Blue-A subset,94.2,18844.0,20000
Specimen_002_L3k GFP.fcs,Specimen_002_L3k GFP.fcs/Lymphocytes,54.8,10965.0,20000
Specimen_002_L3k GFP.fcs,Specimen_002_L3k GFP.fcs/Lymphocytes/Single Cells,62.0,6801.0,20000
Specimen_002_L3k GFP.fcs,"Specimen_002_L3k GFP.fcs/Lymphocytes/Single Cells/Comp-Pacific Blue-A, FSC-A subset",91.2,6201.0,20000
Specimen_002_L3k GFP.fcs,Mean : Comp-FITC-A = 296.69140625,297.0,,20000
Specimen_002_L3k GFP.fcs,"Specimen_002_L3k GFP.fcs/Lymphocytes/Single Cells/Comp-Pacific Blue-A, FSC-A subset/Comp-FITC-A, FSC-A subset",8.82,547.0,20000
Specimen_002_L3k GFP.fcs,"Specimen_002_L3k GFP.fcs/Q1: Comp-Pacific Blue-A- , Comp-FITC-A+",13.6,2716.0,20000
Specimen_002_L3k GFP.fcs,"Specimen_002_L3k GFP.fcs/Q2: Comp-Pacific Blue-A+ , Comp-FITC-A+",1.62,324.0,20000
Specimen_002_L3k GFP.fcs,"Specimen_002_L3k GFP.fcs/Q3: Comp-Pacific Blue-A+ , Comp-FITC-A-",3.64,727.0,20000
Specimen_002_L3k GFP.fcs,"Specimen_002_L3k GFP.fcs/Q4: Comp-Pacific Blue-A- , Comp-FITC-A-",81.2,16233.0,20000
Specimen_002_L3k GFP_001.fcs,Specimen_002_L3k GFP_001.fcs/Comp-Pacific Blue-A subset,77.6,14421.0,18575
Specimen_002_L3k GFP_001.fcs,Specimen_002_L3k GFP_001.fcs/Lymphocytes,21.8,4055.0,18575
Specimen_002_L3k GFP_001.fcs,Specimen_002_L3k GFP_001.fcs/Lymphocytes/Single Cells,70.1,2844.0,18575
Specimen_002_L3k GFP_001.fcs,"Specimen_002_L3k GFP_001.fcs/Lymphocytes/Single Cells/Comp-Pacific Blue-A, FSC-A subset",91.1,2590.0,18575
Specimen_002_L3k GFP_001.fcs,Mean : Comp-FITC-A = 234.601394653,235.0,,18575
Specimen_002_L3k GFP_001.fcs,"Specimen_002_L3k GFP_001.fcs/Lymphocytes/Single Cells/Comp-Pacific Blue-A, FSC-A subset/Comp-FITC-A, FSC-A subset",7.3,189.0,18575
Specimen_002_L3k GFP_001.fcs,"Specimen_002_L3k GFP_001.fcs/Q1: Comp-Pacific Blue-A- , Comp-FITC-A+",4.24,788.0,18575
Specimen_002_L3k GFP_001.fcs,"Specimen_002_L3k GFP_001.fcs/Q2: Comp-Pacific Blue-A+ , Comp-FITC-A+",0.68,126.0,18575
Specimen_002_L3k GFP_001.fcs,"Specimen_002_L3k GFP_001.fcs/Q3: Comp-Pacific Blue-A+ , Comp-FITC-A-",18.8,3487.0,18575
Specimen_002_L3k GFP_001.fcs,"Specimen_002_L3k GFP_001.fcs/Q4: Comp-Pacific Blue-A- , Comp-FITC-A-",76.3,14174.0,18575
Specimen_002_WT-1_001.fcs,Specimen_002_WT-1_001.fcs/Comp-Pacific Blue-A subset,97.0,19391.0,20000
Specimen_002_WT-1_001.fcs,Specimen_002_WT-1_001.fcs/Lymphocytes,81.0,16194.0,20000
Specimen_002_WT-1_001.fcs,Specimen_002_WT-1_001.fcs/Lymphocytes/Single Cells,78.8,12759.0,20000
Specimen_002_WT-1_001.fcs,"Specimen_002_WT-1_001.fcs/Lymphocytes/Single Cells/Comp-Pacific Blue-A, FSC-A subset",98.5,12564.0,20000
Specimen_002_WT-1_001.fcs,Mean : Comp-FITC-A = 2034.14440918,2034.0,,20000
Specimen_002_WT-1_001.fcs,"Specimen_002_WT-1_001.fcs/Lymphocytes/Single Cells/Comp-Pacific Blue-A, FSC-A subset/Comp-FITC-A, FSC-A subset",88.7,11149.0,20000
Specimen_002_WT-1_001.fcs,"Specimen_002_WT-1_001.fcs/Q1: Comp-Pacific Blue-A- , Comp-FITC-A+",73.2,14635.0,20000
Specimen_002_WT-1_001.fcs,"Specimen_002_WT-1_001.fcs/Q2: Comp-Pacific Blue-A+ , Comp-FITC-A+",0.46,93.0,20000
Specimen_002_WT-1_001.fcs,"Specimen_002_WT-1_001.fcs/Q3: Comp-Pacific Blue-A+ , Comp-FITC-A-",2.46,493.0,20000
Specimen_002_WT-1_001.fcs,"Specimen_002_WT-1_001.fcs/Q4: Comp-Pacific Blue-A- , Comp-FITC-A-",23.9,4779.0,20000
Specimen_002_WT.fcs,Specimen_002_WT.fcs/Comp-Pacific Blue-A subset,97.1,19415.0,20000
Specimen_002_WT.fcs,Specimen_002_WT.fcs/Lymphocytes,81.8,16369.0,20000
Specimen_002_WT.fcs,Specimen_002_WT.fcs/Lymphocytes/Single Cells,78.4,12840.0,20000
Specimen_002_WT.fcs,"Specimen_002_WT.fcs/Lymphocytes/Single Cells/Comp-Pacific Blue-A, FSC-A subset",98.4,12638.0,20000
Specimen_002_WT.fcs,Mean : Comp-FITC-A = 2070.915771484,2071.0,,20000
Specimen_002_WT.fcs,"Specimen_002_WT.fcs/Lymphocytes/Single Cells/Comp-Pacific Blue-A, FSC-A subset/Comp-FITC-A, FSC-A subset",89.7,11330.0,20000
Specimen_002_WT.fcs,"Specimen_002_WT.fcs/Q1: Comp-Pacific Blue-A- , Comp-FITC-A+",74.4,14870.0,20000
Specimen_002_WT.fcs,"Specimen_002_WT.fcs/Q2: Comp-Pacific Blue-A+ , Comp-FITC-A+",0.48,97.0,20000
Specimen_002_WT.fcs,"Specimen_002_WT.fcs/Q3: Comp-Pacific Blue-A+ , Comp-FITC-A-",2.38,475.0,20000
Specimen_002_WT.fcs,"Specimen_002_WT.fcs/Q4: Comp-Pacific Blue-A- , Comp-FITC-A-",22.8,4558.0,20000
Specimen_001_CP49 NP4 GFP-1_001.fcs,Specimen_001_CP49 NP4 GFP-1_001.fcs/Comp-Pacific Blue-A subset,82.7,16544.0,20000
Specimen_001_CP49 NP4 GFP-1_001.fcs,Specimen_001_CP49 NP4 GFP-1_001.fcs/Lymphocytes,77.6,15523.0,20000
Specimen_001_CP49 NP4 GFP-1_001.fcs,Specimen_001_CP49 NP4 GFP-1_001.fcs/Lymphocytes/Single Cells,61.8,9586.0,20000
Specimen_001_CP49 NP4 GFP-1_001.fcs,"Specimen_001_CP49 NP4 GFP-1_001.fcs/Lymphocytes/Single Cells/Comp-Pacific Blue-A, FSC-A subset",83.7,8021.0,20000
Specimen_001_CP49 NP4 GFP-1_001.fcs,Mean : Comp-FITC-A = 783.220581055,783.0,,20000
Specimen_001_CP49 NP4 GFP-1_001.fcs,"Specimen_001_CP49 NP4 GFP-1_001.fcs/Lymphocytes/Single Cells/Comp-Pacific Blue-A, FSC-A subset/Comp-FITC-A, FSC-A subset",26.5,2127.0,20000
Specimen_001_CP49 NP4 GFP-1_001.fcs,"Specimen_001_CP49 NP4 GFP-1_001.fcs/Q1: Comp-Pacific Blue-A- , Comp-FITC-A+",34.2,6842.0,20000
Specimen_001_CP49 NP4 GFP-1_001.fcs,"Specimen_001_CP49 NP4 GFP-1_001.fcs/Q2: Comp-Pacific Blue-A+ , Comp-FITC-A+",2.31,462.0,20000
Specimen_001_CP49 NP4 GFP-1_001.fcs,"Specimen_001_CP49 NP4 GFP-1_001.fcs/Q3: Comp-Pacific Blue-A+ , Comp-FITC-A-",14.4,2871.0,20000
Specimen_001_CP49 NP4 GFP-1_001.fcs,"Specimen_001_CP49 NP4 GFP-1_001.fcs/Q4: Comp-Pacific Blue-A- , Comp-FITC-A-",49.1,9825.0,20000
Specimen_001_CP49 NP4 GFP_001.fcs,Specimen_001_CP49 NP4 GFP_001.fcs/Comp-Pacific Blue-A subset,79.5,15909.0,20000
Specimen_001_CP49 NP4 GFP_001.fcs,Specimen_001_CP49 NP4 GFP_001.fcs/Lymphocytes,75.0,14992.0,20000
Specimen_001_CP49 NP4 GFP_001.fcs,Specimen_001_CP49 NP4 GFP_001.fcs/Lymphocytes/Single Cells,65.6,9832.0,20000
Specimen_001_CP49 NP4 GFP_001.fcs,"Specimen_001_CP49 NP4 GFP_001.fcs/Lymphocytes/Single Cells/Comp-Pacific Blue-A, FSC-A subset",81.5,8014.0,20000
Specimen_001_CP49 NP4 GFP_001.fcs,Mean : Comp-FITC-A = 788.947753906,789.0,,20000
Specimen_001_CP49 NP4 GFP_001.fcs,"Specimen_001_CP49 NP4 GFP_001.fcs/Lymphocytes/Single Cells/Comp-Pacific Blue-A, FSC-A subset/Comp-FITC-A, FSC-A subset",26.8,2150.0,20000
Specimen_001_CP49 NP4 GFP_001.fcs,"Specimen_001_CP49 NP4 GFP_001.fcs/Q1: Comp-Pacific Blue-A- , Comp-FITC-A+",28.6,5727.0,20000
Specimen_001_CP49 NP4 GFP_001.fcs,"Specimen_001_CP49 NP4 GFP_001.fcs/Q2: Comp-Pacific Blue-A+ , Comp-FITC-A+",1.99,399.0,20000
Specimen_001_CP49 NP4 GFP_001.fcs,"Specimen_001_CP49 NP4 GFP_001.fcs/Q3: Comp-Pacific Blue-A+ , Comp-FITC-A-",18.1,3610.0,20000
Specimen_001_CP49 NP4 GFP_001.fcs,"Specimen_001_CP49 NP4 GFP_001.fcs/Q4: Comp-Pacific Blue-A- , Comp-FITC-A-",51.3,10264.0,20000
Specimen_001_CP49 NP6 GFP_001.fcs,Specimen_001_CP49 NP6 GFP_001.fcs/Comp-Pacific Blue-A subset,56.5,11300.0,20000
Specimen_001_CP49 NP6 GFP_001.fcs,Specimen_001_CP49 NP6 GFP_001.fcs/Lymphocytes,46.6,9316.0,20000
Specimen_001_CP49 NP6 GFP_001.fcs,Specimen_001_CP49 NP6 GFP_001.fcs/Lymphocytes/Single Cells,76.7,7143.0,20000
Specimen_001_CP49 NP6 GFP_001.fcs,"Specimen_001_CP49 NP6 GFP_001.fcs/Lymphocytes/Single Cells/Comp-Pacific Blue-A, FSC-A subset",49.5,3535.0,20000
Specimen_001_CP49 NP6 GFP_001.fcs,Mean : Comp-FITC-A = 210.66116333,211.0,,20000
Specimen_001_CP49 NP6 GFP_001.fcs,"Specimen_001_CP49 NP6 GFP_001.fcs/Lymphocytes/Single Cells/Comp-Pacific Blue-A, FSC-A subset/Comp-FITC-A, FSC-A subset",6.08,215.0,20000
Specimen_001_CP49 NP6 GFP_001.fcs,"Specimen_001_CP49 NP6 GFP_001.fcs/Q1: Comp-Pacific Blue-A- , Comp-FITC-A+",6.73,1345.0,20000
Specimen_001_CP49 NP6 GFP_001.fcs,"Specimen_001_CP49 NP6 GFP_001.fcs/Q2: Comp-Pacific Blue-A+ , Comp-FITC-A+",3.61,722.0,20000
Specimen_001_CP49 NP6 GFP_001.fcs,"Specimen_001_CP49 NP6 GFP_001.fcs/Q3: Comp-Pacific Blue-A+ , Comp-FITC-A-",39.2,7850.0,20000
Specimen_001_CP49 NP6 GFP_001.fcs,"Specimen_001_CP49 NP6 GFP_001.fcs/Q4: Comp-Pacific Blue-A- , Comp-FITC-A-",50.4,10083.0,20000
Specimen_001_CP49 NP6 GFP_002.fcs,Specimen_001_CP49 NP6 GFP_002.fcs/Comp-Pacific Blue-A subset,56.4,8730.0,15491
Specimen_001_CP49 NP6 GFP_002.fcs,Specimen_001_CP49 NP6 GFP_002.fcs/Lymphocytes,40.2,6235.0,15491
Specimen_001_CP49 NP6 GFP_002.fcs,Specimen_001_CP49 NP6 GFP_002.fcs/Lymphocytes/Single Cells,80.5,5020.0,15491
Specimen_001_CP49 NP6 GFP_002.fcs,"Specimen_001_CP49 NP6 GFP_002.fcs/Lymphocytes/Single Cells/Comp-Pacific Blue-A, FSC-A subset",48.4,2429.0,15491
Specimen_001_CP49 NP6 GFP_002.fcs,Mean : Comp-FITC-A = 180.380767822,180.0,,15491
Specimen_001_CP49 NP6 GFP_002.fcs,"Specimen_001_CP49 NP6 GFP_002.fcs/Lymphocytes/Single Cells/Comp-Pacific Blue-A, FSC-A subset/Comp-FITC-A, FSC-A subset",5.31,129.0,15491
Specimen_001_CP49 NP6 GFP_002.fcs,"Specimen_001_CP49 NP6 GFP_002.fcs/Q1: Comp-Pacific Blue-A- , Comp-FITC-A+",4.9,759.0,15491
Specimen_001_CP49 NP6 GFP_002.fcs,"Specimen_001_CP49 NP6 GFP_002.fcs/Q2: Comp-Pacific Blue-A+ , Comp-FITC-A+",2.63,408.0,15491
Specimen_001_CP49 NP6 GFP_002.fcs,"Specimen_001_CP49 NP6 GFP_002.fcs/Q3: Comp-Pacific Blue-A+ , Comp-FITC-A-",40.2,6235.0,15491
Specimen_001_CP49 NP6 GFP_002.fcs,"Specimen_001_CP49 NP6 GFP_002.fcs/Q4: Comp-Pacific Blue-A- , Comp-FITC-A-",52.2,8089.0,15491
Specimen_001_CP49 NP10 GFP-1_002.fcs,Specimen_001_CP49 NP10 GFP-1_002.fcs/Comp-Pacific Blue-A subset,56.4,11282.0,20000
Specimen_001_CP49 NP10 GFP-1_002.fcs,Specimen_001_CP49 NP10 GFP-1_002.fcs/Lymphocytes,48.4,9675.0,20000
Specimen_001_CP49 NP10 GFP-1_002.fcs,Specimen_001_CP49 NP10 GFP-1_002.fcs/Lymphocytes/Single Cells,75.4,7296.0,20000
Specimen_001_CP49 NP10 GFP-1_002.fcs,"Specimen_001_CP49 NP10 GFP-1_002.fcs/Lymphocytes/Single Cells/Comp-Pacific Blue-A, FSC-A subset",50.0,3647.0,20000
Specimen_001_CP49 NP10 GFP-1_002.fcs,Mean : Comp-FITC-A = 166.356781006,166.0,,20000
Specimen_001_CP49 NP10 GFP-1_002.fcs,"Specimen_001_CP49 NP10 GFP-1_002.fcs/Lymphocytes/Single Cells/Comp-Pacific Blue-A, FSC-A subset/Comp-FITC-A, FSC-A subset",5.1,186.0,20000
Specimen_001_CP49 NP10 GFP-1_002.fcs,"Specimen_001_CP49 NP10 GFP-1_002.fcs/Q1: Comp-Pacific Blue-A- , Comp-FITC-A+",7.56,1511.0,20000
Specimen_001_CP49 NP10 GFP-1_002.fcs,"Specimen_001_CP49 NP10 GFP-1_002.fcs/Q2: Comp-Pacific Blue-A+ , Comp-FITC-A+",3.6,719.0,20000
Specimen_001_CP49 NP10 GFP-1_002.fcs,"Specimen_001_CP49 NP10 GFP-1_002.fcs/Q3: Comp-Pacific Blue-A+ , Comp-FITC-A-",39.4,7871.0,20000
Specimen_001_CP49 NP10 GFP-1_002.fcs,"Specimen_001_CP49 NP10 GFP-1_002.fcs/Q4: Comp-Pacific Blue-A- , Comp-FITC-A-",49.5,9899.0,20000
Specimen_001_CP49 NP10 GFP_001.fcs,Specimen_001_CP49 NP10 GFP_001.fcs/Comp-Pacific Blue-A subset,58.0,10433.0,17998
Specimen_001_CP49 NP10 GFP_001.fcs,Specimen_001_CP49 NP10 GFP_001.fcs/Lymphocytes,41.2,7417.0,17998
Specimen_001_CP49 NP10 GFP_001.fcs,Specimen_001_CP49 NP10 GFP_001.fcs/Lymphocytes/Single Cells,78.3,5805.0,17998
Specimen_001_CP49 NP10 GFP_001.fcs,"Specimen_001_CP49 NP10 GFP_001.fcs/Lymphocytes/Single Cells/Comp-Pacific Blue-A, FSC-A subset",47.3,2746.0,17998
Specimen_001_CP49 NP10 GFP_001.fcs,Mean : Comp-FITC-A = 185.899154663,186.0,,17998
Specimen_001_CP49 NP10 GFP_001.fcs,"Specimen_001_CP49 NP10 GFP_001.fcs/Lymphocytes/Single Cells/Comp-Pacific Blue-A, FSC-A subset/Comp-FITC-A, FSC-A subset",5.83,160.0,17998
Specimen_001_CP49 NP10 GFP_001.fcs,"Specimen_001_CP49 NP10 GFP_001.fcs/Q1: Comp-Pacific Blue-A- , Comp-FITC-A+",5.36,964.0,17998
Specimen_001_CP49 NP10 GFP_001.fcs,"Specimen_001_CP49 NP10 GFP_001.fcs/Q2: Comp-Pacific Blue-A+ , Comp-FITC-A+",2.93,528.0,17998
Specimen_001_CP49 NP10 GFP_001.fcs,"Specimen_001_CP49 NP10 GFP_001.fcs/Q3: Comp-Pacific Blue-A+ , Comp-FITC-A-",38.2,6876.0,17998
Specimen_001_CP49 NP10 GFP_001.fcs,"Specimen_001_CP49 NP10 GFP_001.fcs/Q4: Comp-Pacific Blue-A- , Comp-FITC-A-",53.5,9630.0,17998
Specimen_001_CP49 PBA26 NP4 GFP-1.fcs,Specimen_001_CP49 PBA26 NP4 GFP-1.fcs/Comp-Pacific Blue-A subset,89.8,17955.0,20000
Specimen_001_CP49 PBA26 NP4 GFP-1.fcs,Specimen_001_CP49 PBA26 NP4 GFP-1.fcs/Lymphocytes,86.4,17284.0,20000
Specimen_001_CP49 PBA26 NP4 GFP-1.fcs,Specimen_001_CP49 PBA26 NP4 GFP-1.fcs/Lymphocytes/Single Cells,65.2,11263.0,20000
Specimen_001_CP49 PBA26 NP4 GFP-1.fcs,"Specimen_001_CP49 PBA26 NP4 GFP-1.fcs/Lymphocytes/Single Cells/Comp-Pacific Blue-A, FSC-A subset",92.3,10393.0,20000
Specimen_001_CP49 PBA26 NP4 GFP-1.fcs,Mean : Comp-FITC-A = 1523.43371582,1523.0,,20000
Specimen_001_CP49 PBA26 NP4 GFP-1.fcs,"Specimen_001_CP49 PBA26 NP4 GFP-1.fcs/Lymphocytes/Single Cells/Comp-Pacific Blue-A, FSC-A subset/Comp-FITC-A, FSC-A subset",51.1,5312.0,20000
Specimen_001_CP49 PBA26 NP4 GFP-1.fcs,"Specimen_001_CP49 PBA26 NP4 GFP-1.fcs/Q1: Comp-Pacific Blue-A- , Comp-FITC-A+",53.8,10767.0,20000
Specimen_001_CP49 PBA26 NP4 GFP-1.fcs,"Specimen_001_CP49 PBA26 NP4 GFP-1.fcs/Q2: Comp-Pacific Blue-A+ , Comp-FITC-A+",1.64,327.0,20000
Specimen_001_CP49 PBA26 NP4 GFP-1.fcs,"Specimen_001_CP49 PBA26 NP4 GFP-1.fcs/Q3: Comp-Pacific Blue-A+ , Comp-FITC-A-",8.27,1653.0,20000
Specimen_001_CP49 PBA26 NP4 GFP-1.fcs,"Specimen_001_CP49 PBA26 NP4 GFP-1.fcs/Q4: Comp-Pacific Blue-A- , Comp-FITC-A-",36.3,7253.0,20000
Specimen_001_CP49 PBA26 NP4 GFP.fcs,Specimen_001_CP49 PBA26 NP4 GFP.fcs/Comp-Pacific Blue-A subset,89.9,17977.0,20000
Specimen_001_CP49 PBA26 NP4 GFP.fcs,Specimen_001_CP49 PBA26 NP4 GFP.fcs/Lymphocytes,86.0,17200.0,20000
